date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,actual_snow,average_snow,snow_depth,sea_pressure,wind_speed,max_wind_speed,max_gust_speed,visibility
2015-4-20,11,8,14,8,17,-4,32,1897,1927,34.80,3.56,4.98,0.00,0.00,0.00,1008,12,26,43,5
2015-4-21,15,11,18,8,17,-3,30,1875,1923,5.08,3.56,5.79,0.00,0.00,0.00,1004,10,26,39,10
2015-4-22,15,9,21,8,18,0,30,1947,2001,1.27,3.56,6.22,0.00,0.00,0.00,1005,10,32,53,15
2015-4-23,8,5,11,8,18,0,30,1930,2007,0.00,3.56,5.94,0.00,0.00,0.00,1007,15,34,53,16
2015-4-24,8,4,11,9,18,0,30,1930,2001,0.00,3.56,5.51,0.00,0.00,0.00,1011,14,27,53,16
2015-4-25,10,3,17,9,18,-1,32,1919,1915,0.00,3.56,4.27,0.00,0.00,0.00,1009,9,23,35,16
2015-4-26,13,8,18,9,18,0,33,1919,2009,0.00,3.56,4.78,0.00,0.00,0.00,1005,8,21,34,16
2015-4-27,13,9,17,9,18,2,33,1932,1915,0.00,3.56,5.18,0.00,0.00,0.00,1005,9,26,45,16
2015-4-28,16,10,22,9,19,1,32,1934,1990,0.00,3.81,6.96,0.00,0.00,0.00,1007,13,27,42,16
2015-4-29,18,10,26,9,19,0,31,1874,1974,0.00,3.56,2.31,0.00,0.00,0.00,1006,9,27,37,16
2015-4-30,14,9,19,9,19,-1,32,1875,1942,0.00,3.30,12.62,0.00,0.00,0.00,1009,13,24,34,16
2015-5-1,13,9,17,10,19,1,30,1880,2001,0.00,3.05,6.30,0.00,0.00,0.00,1014,8,23,29,16
2015-5-2,16,9,23,10,19,2,32,1903,2001,0.00,3.05,2.79,0.00,0.00,0.00,1015,5,24,35,16
2015-5-3,19,11,27,10,19,2,33,1874,2018,0.00,3.30,4.22,0.00,0.00,0.00,1019,4,16,29,16
2015-5-4,22,14,29,10,20,3,33,1917,2001,0.00,3.30,5.13,0.00,0.00,0.00,1021,9,24,37,15
2015-5-5,24,19,29,11,20,1,32,1891,1980,0.00,3.30,7.67,0.00,0.00,0.00,1022,6,21,34,16
2015-5-6,19,15,23,11,20,0,33,1891,1986,0.0,3.30,3.71,0.00,0.00,0.00,1024,8,23,37,16
2015-5-7,20,13,27,11,20,2,33,1891,2000,0.00,3.56,9.70,0.00,0.00,0.00,1022,4,16,27,16
